"Citation: Samuel H. Williamson, 'Daily Closing Value of the Dow Jones Average, 1885 to Present,' MeasuringWorth, 2022. ",
Date,DJIA
12/31/1926,157.2
01/03/1927,155.16
01/04/1927,155.53
01/05/1927,155.54
01/06/1927,155.16
01/07/1927,155.53
01/08/1927,155.85
01/10/1927,156.56
01/11/1927,155.68
01/12/1927,155.5
1/13/1927,155.45
1/14/1927,154.91
1/15/1927,154.99
1/17/1927,153.91
1/18/1927,154.11
1/19/1927,155.53
1/20/1927,155.16
1/21/1927,155.51
1/22/1927,155.17
1/24/1927,154.43
1/25/1927,152.73
1/26/1927,153.36
1/27/1927,153.13
1/28/1927,153.86
1/29/1927,155.18
1/31/1927,156.41
02/01/1927,156.26
02/02/1927,154.8
02/03/1927,154.94
02/04/1927,154.51
02/05/1927,154.33
02/07/1927,154.31
02/08/1927,154.86
02/09/1927,155.29
02/10/1927,155.53
02/11/1927,156.05
2/14/1927,157.56
2/15/1927,157.61
2/16/1927,157.41
2/17/1927,157.97
2/18/1927,158.56
2/19/1927,158.71
2/21/1927,158.8
2/23/1927,160.43
2/24/1927,160.11
2/25/1927,160.68
2/26/1927,160.83
2/28/1927,161.96
03/01/1927,161.42
03/02/1927,159.07
03/03/1927,160.89
03/04/1927,159.68
03/05/1927,159.23
03/07/1927,158.62
03/08/1927,158.84
03/09/1927,159.86
03/10/1927,160.87
03/11/1927,160.18
03/12/1927,160.73
3/14/1927,161.43
3/15/1927,160.03
3/16/1927,161.61
3/17/1927,161.78
3/18/1927,160.68
3/19/1927,160.56
3/21/1927,160.81
3/22/1927,158.41
3/23/1927,158.85
3/24/1927,160.3
3/25/1927,160.21
3/26/1927,160.55
3/28/1927,161.01
3/29/1927,160.62
3/30/1927,159.66
3/31/1927,160.08
04/01/1927,160.71
04/02/1927,160.66
04/04/1927,161.7
04/05/1927,162.68
04/06/1927,162.69
04/07/1927,162.5
04/08/1927,162.52
04/09/1927,162.69
04/11/1927,163.61
04/12/1927,163.38
4/13/1927,164.17
4/14/1927,164.78
4/16/1927,165.59
4/18/1927,165.48
4/19/1927,165.93
4/20/1927,166.1
4/21/1927,166.66
4/22/1927,167.36
4/23/1927,166.8
4/25/1927,163.73
4/26/1927,165.12
4/27/1927,165.23
4/28/1927,163.53
4/29/1927,164.64
4/30/1927,164.21
05/02/1927,164.55
05/03/1927,165.85
05/04/1927,168.05
05/05/1927,167.75
05/06/1927,167.85
05/07/1927,167.94
05/09/1927,168.15
05/10/1927,168.25
05/11/1927,167.58
05/12/1927,167.06
5/13/1927,168.15
5/14/1927,168.46
5/16/1927,166.68
5/17/1927,168.09
5/18/1927,168.98
5/19/1927,170.29
5/20/1927,171.75
5/21/1927,172.06
5/23/1927,171.67
5/24/1927,171.06
5/25/1927,171.51
5/26/1927,171.31
5/27/1927,172.15
5/28/1927,172.56
5/31/1927,172.96
06/01/1927,171.98
06/02/1927,171.88
06/03/1927,169.65
06/04/1927,170.16
06/06/1927,171.13
06/07/1927,170.18
06/08/1927,170.22
06/09/1927,170.85
06/10/1927,170.21
06/11/1927,170.63
6/14/1927,167.63
6/15/1927,168.78
6/16/1927,170.26
6/17/1927,170.15
6/18/1927,169.85
6/20/1927,169.5
6/21/1927,169.87
6/22/1927,169.5
6/23/1927,167.82
6/24/1927,168.04
6/25/1927,168.04
6/27/1927,165.73
6/28/1927,166.4
6/29/1927,166.53
6/30/1927,166.23
07/01/1927,168.06
07/02/1927,169.29
07/05/1927,170.95
07/06/1927,172.27
07/07/1927,171.96
07/08/1927,171.5
07/09/1927,171.98
07/11/1927,172.65
07/12/1927,173.11
7/13/1927,173.19
7/14/1927,174.38
7/15/1927,174.87
7/16/1927,174.93
7/18/1927,175.4
7/19/1927,177.02
7/20/1927,177.83
7/21/1927,177.75
7/22/1927,177.83
7/23/1927,178.11
7/25/1927,179.28
7/26/1927,179.72
7/27/1927,180.09
7/28/1927,180.73
7/29/1927,181.4
7/30/1927,182.61
08/01/1927,184.21
08/02/1927,185.55
08/03/1927,183.56
08/04/1927,184.64
08/05/1927,182.87
08/06/1927,182.51
08/08/1927,180.27
08/09/1927,182.05
08/10/1927,182.2
08/11/1927,180
08/12/1927,177.13
8/13/1927,179.34
8/15/1927,181.93
8/16/1927,183.36
8/17/1927,184.3
8/18/1927,184.15
8/19/1927,185.1
8/20/1927,185.8
8/22/1927,187.32
8/23/1927,187.49
8/24/1927,188.07
8/25/1927,187.5
8/26/1927,188.81
8/27/1927,189.3
8/29/1927,190
8/30/1927,190.63
8/31/1927,189.79
09/01/1927,191.56
09/02/1927,192.83
09/03/1927,191.26
09/06/1927,196.91
09/07/1927,197.75
09/08/1927,196.92
09/09/1927,194.6
09/10/1927,195.86
09/12/1927,194
9/13/1927,196.81
9/14/1927,198
9/15/1927,198.97
9/16/1927,198.85
9/17/1927,197.7
9/19/1927,196.38
9/20/1927,196.97
9/21/1927,196.26
9/22/1927,194.65
9/23/1927,195.42
9/24/1927,196.83
9/26/1927,194.64
9/27/1927,195.38
9/28/1927,194.11
9/29/1927,194.8
9/30/1927,197.59
10/01/1927,198.36
10/03/1927,199.78
10/04/1927,198.88
10/05/1927,199.22
