Date,Open,High,Low,Close*,Adj. close**,Volume
30/12/1930,15.06,15.06,15.06,15.06,15.06,-
29/12/1930,14.72,14.72,14.72,14.72,14.72,-
26/12/1930,14.85,14.85,14.85,14.85,14.85,-
24/12/1930,15.16,15.16,15.16,15.16,15.16,-
23/12/1930,14.96,14.96,14.96,14.96,14.96,-
22/12/1930,14.88,14.88,14.88,14.88,14.88,-
19/12/1930,15.39,15.39,15.39,15.39,15.39,-
18/12/1930,15.22,15.22,15.22,15.22,15.22,-
17/12/1930,15.11,15.11,15.11,15.11,15.11,-
16/12/1930,14.44,14.44,14.44,14.44,14.44,-
15/12/1930,14.94,14.94,14.94,14.94,14.94,-
12/12/1930,15.43,15.43,15.43,15.43,15.43,-
11/12/1930,15.55,15.55,15.55,15.55,15.55,-
10/12/1930,15.73,15.73,15.73,15.73,15.73,-
09/12/1930,15.98,15.98,15.98,15.98,15.98,-
08/12/1930,15.97,15.97,15.97,15.97,15.97,-
05/12/1930,16.43,16.43,16.43,16.43,16.43,-
04/12/1930,16.42,16.42,16.42,16.42,16.42,-
03/12/1930,16.67,16.67,16.67,16.67,16.67,-
02/12/1930,16.96,16.96,16.96,16.96,16.96,-
01/12/1930,16.8,16.8,16.8,16.8,16.8,-
28/11/1930,16.38,16.38,16.38,16.38,16.38,-
26/11/1930,16.61,16.61,16.61,16.61,16.61,-
25/11/1930,16.85,16.85,16.85,16.85,16.85,-
24/11/1930,17.05,17.05,17.05,17.05,17.05,-
21/11/1930,17.2,17.2,17.2,17.2,17.2,-
20/11/1930,16.94,16.94,16.94,16.94,16.94,-
19/11/1930,17.01,17.01,17.01,17.01,17.01,-
18/11/1930,16.66,16.66,16.66,16.66,16.66,-
17/11/1930,16.48,16.48,16.48,16.48,16.48,-
14/11/1930,16.89,16.89,16.89,16.89,16.89,-
13/11/1930,16.56,16.56,16.56,16.56,16.56,-
12/11/1930,16.14,16.14,16.14,16.14,16.14,-
11/11/1930,15.79,15.79,15.79,15.79,15.79,-
10/11/1930,15.54,15.54,15.54,15.54,15.54,-
07/11/1930,16.09,16.09,16.09,16.09,16.09,-
06/11/1930,16.65,16.65,16.65,16.65,16.65,-
05/11/1930,16.62,16.62,16.62,16.62,16.62,-
03/11/1930,17.13,17.13,17.13,17.13,17.13,-
31/10/1930,16.94,16.94,16.94,16.94,16.94,-
30/10/1930,17.34,17.34,17.34,17.34,17.34,-
29/10/1930,17.55,17.55,17.55,17.55,17.55,-
28/10/1930,17.86,17.86,17.86,17.86,17.86,-
27/10/1930,17.78,17.78,17.78,17.78,17.78,-
24/10/1930,17.74,17.74,17.74,17.74,17.74,-
23/10/1930,17.14,17.14,17.14,17.14,17.14,-
22/10/1930,16.9,16.9,16.9,16.9,16.9,-
21/10/1930,17.05,17.05,17.05,17.05,17.05,-
20/10/1930,17.57,17.57,17.57,17.57,17.57,-
17/10/1930,17.16,17.16,17.16,17.16,17.16,-
16/10/1930,17.88,17.88,17.88,17.88,17.88,-
15/10/1930,18.2,18.2,18.2,18.2,18.2,-
14/10/1930,17.91,17.91,17.91,17.91,17.91,-
10/10/1930,18.11,18.11,18.11,18.11,18.11,-
09/10/1930,17.67,17.67,17.67,17.67,17.67,-
08/10/1930,18.4,18.4,18.4,18.4,18.4,-
07/10/1930,18.62,18.62,18.62,18.62,18.62,-
06/10/1930,18.61,18.61,18.61,18.61,18.61,-
03/10/1930,19.42,19.42,19.42,19.42,19.42,-
02/10/1930,19.18,19.18,19.18,19.18,19.18,-
01/10/1930,19.42,19.42,19.42,19.42,19.42,-
30/09/1930,18.59,18.59,18.59,18.59,18.59,-
29/09/1930,18.88,18.88,18.88,18.88,18.88,-
26/09/1930,19.43,19.43,19.43,19.43,19.43,-
25/09/1930,19.73,19.73,19.73,19.73,19.73,-
24/09/1930,20.11,20.11,20.11,20.11,20.11,-
23/09/1930,20.44,20.44,20.44,20.44,20.44,-
22/09/1930,20.17,20.17,20.17,20.17,20.17,-
19/09/1930,20.68,20.68,20.68,20.68,20.68,-
18/09/1930,21.06,21.06,21.06,21.06,21.06,-
17/09/1930,21.29,21.29,21.29,21.29,21.29,-
16/09/1930,21.22,21.22,21.22,21.22,21.22,-
15/09/1930,21.19,21.19,21.19,21.19,21.19,-
12/09/1930,21.5,21.5,21.5,21.5,21.5,-
11/09/1930,21.72,21.72,21.72,21.72,21.72,-
10/09/1930,21.86,21.86,21.86,21.86,21.86,-
