Date,Open,High,Low,Close,Adj Close**,Volume
31/05/1988,253.44,262.16,253.42,262.16,262.16,247610000.00
27/05/1988,254.62,254.63,252.74,253.42,253.42,133590000.00
26/05/1988,253.75,254.98,253.52,254.63,254.63,164260000.00
25/05/1988,253.52,255.34,253.51,253.76,253.76,138310000.00
24/05/1988,250.84,253.51,250.83,253.51,253.51,139930000.00
23/05/1988,253,253.02,249.82,250.83,250.83,102640000.00
20/05/1988,252.61,253.7,251.79,253.02,253.02,120600000.00
19/05/1988,251.36,252.57,248.85,252.57,252.57,165160000.00
18/05/1988,255.4,255.67,250.73,251.35,251.35,209420000.00
17/05/1988,258.72,260.2,255.35,255.39,255.39,133850000.00
16/05/1988,256.75,258.71,256.28,258.71,258.71,155010000.00
13/05/1988,253.88,256.83,253.85,256.78,256.78,147240000.00
12/05/1988,253.32,254.87,253.31,253.85,253.85,143880000.00
11/05/1988,257.6,257.62,252.32,253.31,253.31,176720000.00
10/05/1988,256.53,258.3,255.93,257.62,257.62,131200000.00
09/05/1988,257.47,258.22,255.45,256.54,256.54,166320000.00
06/05/1988,258.8,260.31,257.03,257.48,257.48,129080000.00
05/05/1988,260.3,260.32,258.13,258.79,258.79,171840000.00
04/05/1988,263.05,263.23,260.31,260.32,260.32,141320000.00
03/05/1988,261.55,263.7,261.55,263,263,176920000.00
02/05/1988,261.36,261.56,259.99,261.56,261.56,136470000.00
29/04/1988,262.59,262.61,259.97,261.33,261.33,135620000.00
28/04/1988,263.79,263.8,262.22,262.61,262.61,128680000.00
27/04/1988,263.94,265.09,263.45,263.8,263.8,133810000.00
26/04/1988,262.45,265.06,262.18,263.93,263.93,152300000.00
25/04/1988,260.15,263.29,260.14,262.51,262.51,156950000.00
22/04/1988,256.45,261.16,256.42,260.14,260.14,152520000.00
21/04/1988,256.15,260.44,254.71,256.42,256.42,168440000.00
20/04/1988,257.91,258.54,256.12,256.13,256.13,147590000.00
19/04/1988,259.24,262.38,257.91,257.92,257.92,161910000.00
18/04/1988,259.75,259.81,258.03,259.21,259.21,144650000.00
15/04/1988,259.74,260.39,255.97,259.77,259.77,234160000.00
14/04/1988,271.55,271.57,259.37,259.75,259.75,211810000.00
